sample_index,position_index,scene_id,layer_id,height_index,pattern,x,y,z,yaw_deg,yaw_rad,pitch_deg,pitch_rad,yaw_offset_deg,legacy_anchor,route_bridge
78,26,scene_3.2,scene_3.2_y01,1,route_right,-1.286905053,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
79,27,scene_3.2,scene_3.2_y01,1,route_left,-2.69646341,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
80,27,scene_3.2,scene_3.2_y01,1,route_forward,-2.69646341,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
81,27,scene_3.2,scene_3.2_y01,1,route_right,-2.69646341,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
82,28,scene_3.2,scene_3.2_y01,1,route_left,-4.106021767,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
83,28,scene_3.2,scene_3.2_y01,1,route_forward,-4.106021767,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
84,28,scene_3.2,scene_3.2_y01,1,route_right,-4.106021767,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
85,29,scene_3.2,scene_3.2_y01,1,route_left,-5.515580123,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
86,29,scene_3.2,scene_3.2_y01,1,route_forward,-5.515580123,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
87,29,scene_3.2,scene_3.2_y01,1,route_right,-5.515580123,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
88,30,scene_3.2,scene_3.2_y01,1,route_left,-6.92513848,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
89,30,scene_3.2,scene_3.2_y01,1,route_forward,-6.92513848,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
90,30,scene_3.2,scene_3.2_y01,1,route_right,-6.92513848,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
91,31,scene_3.2,scene_3.2_y01,1,route_left,-8.334696836,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
92,31,scene_3.2,scene_3.2_y01,1,route_forward,-8.334696836,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
93,31,scene_3.2,scene_3.2_y01,1,route_right,-8.334696836,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
94,32,scene_3.2,scene_3.2_y01,1,route_left,-9.744255193,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
95,32,scene_3.2,scene_3.2_y01,1,route_forward,-9.744255193,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
96,32,scene_3.2,scene_3.2_y01,1,route_right,-9.744255193,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
97,33,scene_3.2,scene_3.2_y01,1,route_left,-11.15381355,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
98,33,scene_3.2,scene_3.2_y01,1,route_forward,-11.15381355,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
99,33,scene_3.2,scene_3.2_y01,1,route_right,-11.15381355,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
100,34,scene_3.2,scene_3.2_y01,1,route_left,-12.563371906,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
101,34,scene_3.2,scene_3.2_y01,1,route_forward,-12.563371906,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
102,34,scene_3.2,scene_3.2_y01,1,route_right,-12.563371906,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
103,35,scene_3.2,scene_3.2_y01,1,route_left,-13.972930263,14.629153775,-338.824649694,55.0,0.959931089,0.0,0.0,-35.0,False,False
104,35,scene_3.2,scene_3.2_y01,1,route_forward,-13.972930263,14.629153775,-338.824649694,90.0,1.570796327,0.0,0.0,0.0,False,False
105,35,scene_3.2,scene_3.2_y01,1,route_right,-13.972930263,14.629153775,-338.824649694,125.0,2.181661565,0.0,0.0,35.0,False,False
106,36,scene_3.2,scene_3.2_y01,1,route_left,-15.382488619,14.629153775,-338.824649694,145.0,2.530727415,0.0,0.0,-35.0,False,False
107,36,scene_3.2,scene_3.2_y01,1,route_forward,-15.382488619,14.629153775,-338.824649694,180.0,3.141592654,0.0,0.0,0.0,False,False
108,36,scene_3.2,scene_3.2_y01,1,route_right,-15.382488619,14.629153775,-338.824649694,215.0,3.752457892,0.0,0.0,35.0,False,False
109,37,scene_3.2,scene_3.2_y01,1,route_left,-15.382488619,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
110,37,scene_3.2,scene_3.2_y01,1,route_forward,-15.382488619,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
111,37,scene_3.2,scene_3.2_y01,1,route_right,-15.382488619,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
112,38,scene_3.2,scene_3.2_y01,1,route_left,-13.972930263,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
113,38,scene_3.2,scene_3.2_y01,1,route_forward,-13.972930263,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
114,38,scene_3.2,scene_3.2_y01,1,route_right,-13.972930263,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
115,39,scene_3.2,scene_3.2_y01,1,route_left,-12.563371906,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
116,39,scene_3.2,scene_3.2_y01,1,route_forward,-12.563371906,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
117,39,scene_3.2,scene_3.2_y01,1,route_right,-12.563371906,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
118,40,scene_3.2,scene_3.2_y01,1,route_left,-11.15381355,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
119,40,scene_3.2,scene_3.2_y01,1,route_forward,-11.15381355,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
120,40,scene_3.2,scene_3.2_y01,1,route_right,-11.15381355,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
121,41,scene_3.2,scene_3.2_y01,1,route_left,-9.744255193,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
122,41,scene_3.2,scene_3.2_y01,1,route_forward,-9.744255193,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
123,41,scene_3.2,scene_3.2_y01,1,route_right,-9.744255193,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
124,42,scene_3.2,scene_3.2_y01,1,route_left,-8.334696836,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
125,42,scene_3.2,scene_3.2_y01,1,route_forward,-8.334696836,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
126,42,scene_3.2,scene_3.2_y01,1,route_right,-8.334696836,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
127,43,scene_3.2,scene_3.2_y01,1,route_left,-6.92513848,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
128,43,scene_3.2,scene_3.2_y01,1,route_forward,-6.92513848,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
129,43,scene_3.2,scene_3.2_y01,1,route_right,-6.92513848,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
130,44,scene_3.2,scene_3.2_y01,1,route_left,-5.515580123,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
131,44,scene_3.2,scene_3.2_y01,1,route_forward,-5.515580123,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
132,44,scene_3.2,scene_3.2_y01,1,route_right,-5.515580123,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
133,45,scene_3.2,scene_3.2_y01,1,route_left,-4.106021767,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
134,45,scene_3.2,scene_3.2_y01,1,route_forward,-4.106021767,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
135,45,scene_3.2,scene_3.2_y01,1,route_right,-4.106021767,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
136,46,scene_3.2,scene_3.2_y01,1,route_left,-2.69646341,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
137,46,scene_3.2,scene_3.2_y01,1,route_forward,-2.69646341,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
138,46,scene_3.2,scene_3.2_y01,1,route_right,-2.69646341,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
139,47,scene_3.2,scene_3.2_y01,1,route_left,-1.286905053,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
140,47,scene_3.2,scene_3.2_y01,1,route_forward,-1.286905053,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
141,47,scene_3.2,scene_3.2_y01,1,route_right,-1.286905053,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
142,48,scene_3.2,scene_3.2_y01,1,route_left,0.122653303,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
143,48,scene_3.2,scene_3.2_y01,1,route_forward,0.122653303,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
144,48,scene_3.2,scene_3.2_y01,1,route_right,0.122653303,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
145,49,scene_3.2,scene_3.2_y01,1,route_left,1.53221166,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
146,49,scene_3.2,scene_3.2_y01,1,route_forward,1.53221166,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
147,49,scene_3.2,scene_3.2_y01,1,route_right,1.53221166,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
148,50,scene_3.2,scene_3.2_y01,1,route_left,2.941770016,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
149,50,scene_3.2,scene_3.2_y01,1,route_forward,2.941770016,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
150,50,scene_3.2,scene_3.2_y01,1,route_right,2.941770016,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
151,51,scene_3.2,scene_3.2_y01,1,route_left,4.351328373,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
152,51,scene_3.2,scene_3.2_y01,1,route_forward,4.351328373,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
153,51,scene_3.2,scene_3.2_y01,1,route_right,4.351328373,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
154,52,scene_3.2,scene_3.2_y01,1,route_left,5.76088673,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
155,52,scene_3.2,scene_3.2_y01,1,route_forward,5.76088673,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
156,52,scene_3.2,scene_3.2_y01,1,route_right,5.76088673,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
157,53,scene_3.2,scene_3.2_y01,1,route_left,7.170445086,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
158,53,scene_3.2,scene_3.2_y01,1,route_forward,7.170445086,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
159,53,scene_3.2,scene_3.2_y01,1,route_right,7.170445086,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
160,54,scene_3.2,scene_3.2_y01,1,route_left,8.580003443,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
161,54,scene_3.2,scene_3.2_y01,1,route_forward,8.580003443,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
162,54,scene_3.2,scene_3.2_y01,1,route_right,8.580003443,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
163,55,scene_3.2,scene_3.2_y01,1,route_left,9.989561799,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
164,55,scene_3.2,scene_3.2_y01,1,route_forward,9.989561799,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
165,55,scene_3.2,scene_3.2_y01,1,route_right,9.989561799,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
166,56,scene_3.2,scene_3.2_y01,1,route_left,11.399120156,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
167,56,scene_3.2,scene_3.2_y01,1,route_forward,11.399120156,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
168,56,scene_3.2,scene_3.2_y01,1,route_right,11.399120156,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
169,57,scene_3.2,scene_3.2_y01,1,route_left,12.808678513,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
170,57,scene_3.2,scene_3.2_y01,1,route_forward,12.808678513,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
171,57,scene_3.2,scene_3.2_y01,1,route_right,12.808678513,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
172,58,scene_3.2,scene_3.2_y01,1,route_left,14.218236869,14.629153775,-337.468860848,235.0,4.101523742,0.0,0.0,-35.0,False,False
173,58,scene_3.2,scene_3.2_y01,1,route_forward,14.218236869,14.629153775,-337.468860848,270.0,4.71238898,0.0,0.0,0.0,False,False
174,58,scene_3.2,scene_3.2_y01,1,route_right,14.218236869,14.629153775,-337.468860848,305.0,5.323254219,0.0,0.0,35.0,False,False
175,59,scene_3.2,scene_3.2_y01,1,route_left,15.627795226,14.629153775,-337.468860848,209.315850588,3.653250769,0.0,0.0,-35.0,False,False
176,59,scene_3.2,scene_3.2_y01,1,route_forward,15.627795226,14.629153775,-337.468860848,244.315850588,4.264116008,0.0,0.0,0.0,False,False
177,59,scene_3.2,scene_3.2_y01,1,route_right,15.627795226,14.629153775,-337.468860848,279.315850588,4.874981246,0.0,0.0,35.0,False,False
178,60,scene_3.2,scene_3.2_y01,1,route_left,17.037353582,14.629153775,-336.790966425,209.315850588,3.653250769,0.0,0.0,-35.0,False,True
179,60,scene_3.2,scene_3.2_y01,1,route_forward,17.037353582,14.629153775,-336.790966425,244.315850588,4.264116008,0.0,0.0,0.0,False,True
180,60,scene_3.2,scene_3.2_y01,1,route_right,17.037353582,14.629153775,-336.790966425,279.315850588,4.874981246,0.0,0.0,35.0,False,True
181,61,scene_3.2,scene_3.2_y01,1,route_left,18.446911939,14.629153775,-336.113072002,55.0,0.959931089,0.0,0.0,-35.0,False,False
182,61,scene_3.2,scene_3.2_y01,1,route_forward,18.446911939,14.629153775,-336.113072002,90.0,1.570796327,0.0,0.0,0.0,False,False
183,61,scene_3.2,scene_3.2_y01,1,route_right,18.446911939,14.629153775,-336.113072002,125.0,2.181661565,0.0,0.0,35.0,False,False
184,62,scene_3.2,scene_3.2_y01,1,route_left,17.037353582,14.629153775,-336.113072002,55.0,0.959931089,0.0,0.0,-35.0,True,False
185,62,scene_3.2,scene_3.2_y01,1,route_forward,17.037353582,14.629153775,-336.113072002,90.0,1.570796327,0.0,0.0,0.0,True,False
186,62,scene_3.2,scene_3.2_y01,1,route_right,17.037353582,14.629153775,-336.113072002,125.0,2.181661565,0.0,0.0,35.0,True,False
187,63,scene_3.2,scene_3.2_y01,1,route_left,15.627795226,14.629153775,-336.113072002,55.0,0.959931089,0.0,0.0,-35.0,False,False
188,63,scene_3.2,scene_3.2_y01,1,route_forward,15.627795226,14.629153775,-336.113072002,90.0,1.570796327,0.0,0.0,0.0,False,False
